date,原油,LPG,沥青,燃油,PP,PE,PTA,甲醇,PX,EG,EB,纯苯
2023-08-31,4716.0,5365.0,3744.0,3637.0,7745.0,8325.0,6114.0,2577.0,,4118.0,8458.0,
2023-09-01,4795.0,5492.0,3762.0,3596.0,7851.0,8420.0,6164.0,2610.0,,4232.0,8722.0,
2023-09-04,4873.0,5613.0,3802.0,3602.0,7813.0,8385.0,6072.0,2573.0,,4238.0,8762.0,
2023-09-05,4913.0,5662.0,3881.0,3594.0,7871.0,8401.0,6056.0,2590.0,,4243.0,8827.0,
2023-09-06,5033.0,5763.0,3903.0,3704.0,7962.0,8459.0,6150.0,2586.0,,4247.0,9270.0,
2023-09-07,5070.0,5640.0,3881.0,3742.0,7894.0,8383.0,6082.0,2536.0,,4232.0,9268.0,
2023-09-08,5062.0,5551.0,3858.0,3737.0,7822.0,8317.0,6024.0,2523.0,,4266.0,9133.0,
2023-09-11,5031.0,5595.0,3858.0,3740.0,7865.0,8354.0,6114.0,2551.0,,4333.0,9262.0,
2023-09-12,5105.0,5679.0,3844.0,3755.0,7985.0,8402.0,6314.0,2566.0,,4351.0,9566.0,
2023-09-13,5189.0,5678.0,3843.0,3809.0,7966.0,8358.0,6282.0,2525.0,,4308.0,9811.0,
2023-09-14,5338.0,5687.0,3849.0,3812.0,7957.0,8349.0,6354.0,2562.0,,4346.0,9817.0,
2023-09-15,5393.0,5695.0,3991.0,3839.0,7970.0,8417.0,6388.0,2564.0,9468.0,4366.0,9729.0,
2023-09-18,5451.0,5661.0,4009.0,3824.0,7991.0,8430.0,6320.0,2625.0,9346.0,4396.0,9467.0,
2023-09-19,5128.0,5780.0,3970.0,3737.0,8073.0,8520.0,6322.0,2633.0,9326.0,4388.0,9464.0,
2023-09-20,5063.0,5711.0,3925.0,3678.0,7972.0,8384.0,6294.0,2591.0,9310.0,4387.0,9186.0,
2023-09-21,5023.0,5633.0,3869.0,3660.0,7876.0,8273.0,6210.0,2547.0,9134.0,4322.0,8926.0,
2023-09-22,5099.0,5689.0,3884.0,3763.0,7889.0,8295.0,6254.0,2542.0,9218.0,4328.0,9104.0,
2023-09-25,5074.0,5655.0,3910.0,3777.0,7789.0,8258.0,6218.0,2480.0,9130.0,4236.0,8826.0,
2023-09-26,5001.0,5415.0,3850.0,3684.0,7731.0,8230.0,6114.0,2457.0,8930.0,4194.0,8690.0,
2023-09-27,5141.0,5458.0,3931.0,3820.0,7716.0,8219.0,6146.0,2476.0,8980.0,4139.0,8809.0,
2023-09-28,5256.0,5681.0,3960.0,3862.0,7746.0,8247.0,6194.0,2470.0,9006.0,4134.0,8846.0,
2023-10-09,4814.0,5404.0,3752.0,3534.0,7586.0,8125.0,5938.0,2488.0,8620.0,4123.0,8602.0,
2023-10-10,4817.0,5311.0,3759.0,3318.0,7460.0,8025.0,5884.0,2424.0,8500.0,4076.0,8391.0,
2023-10-11,4855.0,5207.0,3780.0,3334.0,7458.0,8032.0,5866.0,2455.0,8458.0,4089.0,8469.0,
2023-10-12,4753.0,5084.0,3770.0,3295.0,7462.0,8037.0,5790.0,2443.0,8390.0,4094.0,8401.0,
2023-10-13,4814.0,5112.0,3596.0,3331.0,7473.0,8021.0,5778.0,2441.0,8404.0,4102.0,8458.0,
2023-10-16,4972.0,5163.0,3674.0,3459.0,7517.0,8055.0,5832.0,2468.0,8444.0,4115.0,8609.0,
2023-10-17,4942.0,5083.0,3659.0,3419.0,7452.0,7998.0,5802.0,2416.0,8362.0,4085.0,8515.0,
2023-10-18,5044.0,5151.0,3638.0,3467.0,7421.0,7931.0,5800.0,2382.0,8420.0,4075.0,8615.0,
2023-10-19,5009.0,5155.0,3656.0,3496.0,7434.0,7939.0,5778.0,2417.0,8400.0,4079.0,8619.0,
2023-10-20,5100.0,5170.0,3639.0,3498.0,7441.0,7954.0,5772.0,2431.0,8410.0,4076.0,8576.0,
2023-10-23,5025.0,5236.0,3614.0,3384.0,7443.0,7989.0,5694.0,2404.0,8318.0,4078.0,8593.0,
2023-10-24,4964.0,5220.0,3615.0,3391.0,7465.0,7993.0,5782.0,2389.0,8530.0,4097.0,8572.0,
2023-10-25,4848.0,5116.0,3622.0,3335.0,7496.0,8033.0,5800.0,2411.0,8460.0,4126.0,8461.0,
2023-10-26,4899.0,5033.0,3676.0,3340.0,7479.0,8050.0,5832.0,2403.0,8510.0,4125.0,8418.0,
2023-10-27,4911.0,5142.0,3746.0,3352.0,7599.0,8159.0,5830.0,2437.0,8554.0,4159.0,8559.0,
2023-10-30,4891.0,5136.0,3740.0,3322.0,7615.0,8169.0,5896.0,2461.0,8630.0,4154.0,8720.0,
2023-10-31,4792.0,5158.0,3740.0,3267.0,7588.0,8142.0,5908.0,2427.0,8638.0,4116.0,8795.0,
2023-11-01,4739.0,5238.0,3743.0,3275.0,7614.0,8160.0,5882.0,2412.0,8596.0,4117.0,8767.0,
2023-11-02,4757.0,5229.0,3757.0,3291.0,7599.0,8153.0,5856.0,2393.0,8564.0,4081.0,8668.0,
2023-11-03,4814.0,5248.0,3746.0,3330.0,7695.0,8235.0,5926.0,2448.0,8652.0,4148.0,8679.0,
2023-11-06,4734.0,5217.0,3722.0,3276.0,7729.0,8229.0,5864.0,2479.0,8558.0,4159.0,8644.0,
2023-11-07,4567.0,5115.0,3689.0,3202.0,7694.0,8181.0,5820.0,2475.0,8496.0,4189.0,8499.0,
2023-11-08,4456.0,5130.0,3607.0,3121.0,7710.0,8202.0,5824.0,2514.0,8462.0,4212.0,8439.0,
2023-11-09,4358.0,5237.0,3544.0,3103.0,7722.0,8169.0,5802.0,2508.0,8432.0,4206.0,8440.0,
2023-11-10,4373.0,5283.0,3567.0,3153.0,7710.0,8162.0,5832.0,2487.0,8470.0,4210.0,8471.0,
2023-11-13,4359.0,5210.0,3557.0,3164.0,7630.0,8032.0,5802.0,2456.0,8452.0,4147.0,8376.0,
2023-11-14,4432.0,5254.0,3561.0,3195.0,7671.0,8059.0,5872.0,2458.0,8566.0,4177.0,8417.0,
2023-11-15,4421.0,5262.0,3610.0,3225.0,7733.0,8161.0,5924.0,2485.0,8624.0,4236.0,8665.0,
2023-11-16,4314.0,5185.0,3606.0,3159.0,7751.0,8186.0,6044.0,2498.0,8778.0,4258.0,8697.0,
2023-11-17,4121.0,5101.0,3536.0,3079.0,7705.0,8161.0,6026.0,2499.0,8672.0,4228.0,8703.0,
2023-11-20,4301.0,5197.0,3554.0,3197.0,7636.0,8078.0,6030.0,2447.0,8708.0,4213.0,8711.0,
2023-11-21,4306.0,4917.0,3541.0,3167.0,7512.0,7966.0,5822.0,2388.0,8452.0,4101.0,8499.0,
2023-11-22,4333.0,4916.0,3555.0,3188.0,7503.0,7928.0,5778.0,2396.0,8416.0,4086.0,8450.0,
2023-11-23,4244.0,4837.0,3554.0,3067.0,7424.0,7854.0,5774.0,2349.0,8410.0,4081.0,8425.0,
2023-11-24,4278.0,4860.0,3573.0,3133.0,7462.0,7934.0,5764.0,2392.0,8408.0,4089.0,8358.0,
